post_num,shortcode,links,img_url,timestamp,num_comments,num_likes,caption
26,BmJ-JYAAV7eJHa0bQDvYu9Dn7Wz8HpmDz-XxJo0,https://www.instagram.com/p/BmJ-JYAAV7eJHa0bQDvYu9Dn7Wz8HpmDz-XxJo0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/34e4cbc74f8a695868321726386f1315/5C8E3137/t51.2885-15/e35/37710387_249347372358035_1352205706513612800_n.jpg,1533597926,5,73,It says it all, love you guys and miss you all 😘🤗 I read them again and still love every word ☺☺
25,Bk1nOltgHejReHfur9FH2rAPfuZF2K2yUR3ojg0,https://www.instagram.com/p/Bk1nOltgHejReHfur9FH2rAPfuZF2K2yUR3ojg0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/6fe04f579ee53e939c3b571ec3b6df05/5CA82B0C/t51.2885-15/e35/36136155_2176205202616702_996066554472824832_n.jpg,1530767338,10,114,El nido, the heaven of ocean and sky 3
24,Bk1m00bAHCbI0OBOJV4pvHSDGKlIPOCC0xaRig0,https://www.instagram.com/p/Bk1m00bAHCbI0OBOJV4pvHSDGKlIPOCC0xaRig0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/609e912ec4ce85e92a12bf3cfcb17ccd/5CABD3FF/t51.2885-15/e35/36745230_249648538954298_1738777338956480512_n.jpg,1530767127,12,101,El nido, the heaven of ocean and sky 2
23,Bk1mY63gUD0Ca0LEKMibDk22tktmB1ZuDe1miE0,https://www.instagram.com/p/Bk1mY63gUD0Ca0LEKMibDk22tktmB1ZuDe1miE0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/8a113d97d60fe2ba9fea074dcb268fcb/5CAFAA0B/t51.2885-15/e35/36766443_1799788060082194_2588198084852842496_n.jpg,1530766898,27,115,El nido the heaven of the ocean and sky 😍😍
22,BkT74bQAQ53II6pLXCHDXhvZF4MLJk2-8dCKO80,https://www.instagram.com/p/BkT74bQAQ53II6pLXCHDXhvZF4MLJk2-8dCKO80/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/3f7e701c53420393e0aa8e9bb042f5be/5CAF9F52/t51.2885-15/e35/34982385_239471879974076_2465087816590163968_n.jpg,1529637315,18,102,Spartan race, feeling accomplished (Thanks to Piotr for motivation and support) ☺
21,Bh374wkgwRdd7gljpazTnEMDJKpxAtpl8yqDtw0,https://www.instagram.com/p/Bh374wkgwRdd7gljpazTnEMDJKpxAtpl8yqDtw0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/0c4768f9dde55e40043550863761afaf/5C98CE06/t51.2885-15/e35/30855875_199378644200719_7666882825156558848_n.jpg,1524402827,8,105,Dominican-2
20,Bh37g_ig_TwUDak4BasyDuA1HGhaRV7ugI1cqg0,https://www.instagram.com/p/Bh37g_ig_TwUDak4BasyDuA1HGhaRV7ugI1cqg0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/6849ed37967732a00ef4db7bd72e019f/5CAD9463/t51.2885-15/e35/30086897_2055025808155304_6564584163037413376_n.jpg,1524402632,23,124,Dominican Repepublic-1
19,Bf8oyS6B40kp_FAqPvwdoEXGwpnEGizCnxoVmA0,https://www.instagram.com/p/Bf8oyS6B40kp_FAqPvwdoEXGwpnEGizCnxoVmA0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/118c44ca4a89439caf44b465e15f9271/5CA98B1C/t51.2885-15/e35/28433205_538541453193864_4614972755035553792_n.jpg,1520265617,42,134,ستاره میشویم 😁😁 I really feel like being the Star 😁😁🙈🙈
18,BadRmffh12AUe-d1GPhU5nITJ8js8SBhHmfiAk0,https://www.instagram.com/p/BadRmffh12AUe-d1GPhU5nITJ8js8SBhHmfiAk0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/c44604ff2cfdbad0498a4e33deacf8a2/5CAE5086/t51.2885-15/e35/22636934_288381825001146_5883989398906732544_n.jpg,1508475856,17,95,Boracay-Part 2
17,BadQ_bjBEFItO6FKacgFtg-TyIVJOw6guEsqus0,https://www.instagram.com/p/BadQ_bjBEFItO6FKacgFtg-TyIVJOw6guEsqus0/?taken-by=mor_chalaki,https://scontent-frx5-1.cdninstagram.com/vp/22ddd7a1ea045e4b092833746cfaaba3/5CA2F0DD/t51.2885-15/e35/22582640_1728695593838751_2325365521064656896_n.jpg,1508475536,7,83,Boracay - Part 1
